n,positives,negatives,auroc,auprc,balanced_accuracy,accuracy,precision,sensitivity,specificity,f1,mcc,brier,tp,tn,fp,fn,model,repeat,fold
74,31,43,0.700675168792198,0.6363689123660956,0.6249062265566392,0.6216216216216216,0.5405405405405406,0.6451612903225806,0.6046511627906976,0.5882352941176471,0.24650596604914954,0.21687120476651398,20,26,17,11,ECFP,1,4
74,31,43,0.6789197299324832,0.6115832312962934,0.6339084771192798,0.6216216216216216,0.5365853658536586,0.7096774193548387,0.5581395348837209,0.6111111111111112,0.2658301541441506,0.23517950772846655,22,24,19,9,ECFP_StateCore,1,4
74,31,43,0.6909227306826706,0.5866003385734837,0.6294073518379595,0.6216216216216216,0.5384615384615384,0.6774193548387096,0.5813953488372093,0.6,0.2557629866198055,0.2326772026056349,21,25,18,10,ECFP_FluxCore,1,4
74,31,43,0.6759189797449363,0.5968723280036123,0.645536384096024,0.6351351351351351,0.55,0.7096774193548387,0.5813953488372093,0.6197183098591549,0.28816895837761086,0.23945786039425088,22,25,18,9,ECFP_StateFluxCore,1,4
76,32,44,0.7975852272727273,0.7964892865509813,0.7286931818181819,0.75,0.76,0.59375,0.8636363636363636,0.6666666666666666,0.48065055439135834,0.18222464403904282,19,38,6,13,ECFP,2,0
76,32,44,0.8125,0.8191762552645906,0.7144886363636364,0.7236842105263158,0.6774193548387096,0.65625,0.7727272727272727,0.6666666666666666,0.430971456386925,0.17773558998138664,21,34,10,11,ECFP_StateCore,2,0
76,32,44,0.7507102272727273,0.7588668747091207,0.6164772727272727,0.6052631578947368,0.5238095238095238,0.6875,0.5454545454545454,0.5945945945945946,0.23131745879431767,0.19799581783723869,22,24,20,10,ECFP_FluxCore,2,0
76,32,44,0.7649147727272727,0.7834821006253753,0.6690340909090908,0.6710526315789473,0.6,0.65625,0.6818181818181818,0.6268656716417911,0.33487264680578793,0.19391353702162858,21,30,14,11,ECFP_StateFluxCore,2,0
76,31,45,0.843010752688172,0.7850746493409422,0.7870967741935484,0.7894736842105263,0.7272727272727273,0.7741935483870968,0.8,0.75,0.5693170817530447,0.17423207821871634,24,36,9,7,ECFP,2,1
76,31,45,0.8637992831541218,0.8368360005973672,0.7849462365591398,0.7631578947368421,0.6511627906976745,0.9032258064516129,0.6666666666666666,0.7567567567567568,0.565052534324183,0.1724479555245148,28,30,15,3,ECFP_StateCore,2,1
76,31,45,0.845878136200717,0.803224813940093,0.7577060931899642,0.7368421052631579,0.627906976744186,0.8709677419354839,0.6444444444444445,0.7297297297297297,0.5110349335586007,0.1770542530399224,27,29,16,4,ECFP_FluxCore,2,1
76,31,45,0.8387096774193549,0.8116625913454537,0.7465949820788531,0.7236842105263158,0.6136363636363636,0.8709677419354839,0.6222222222222222,0.72,0.4909078840963649,0.17978239821261513,27,28,17,4,ECFP_StateFluxCore,2,1
76,31,45,0.8738351254480285,0.8523948875118533,0.774910394265233,0.7631578947368421,0.6666666666666666,0.8387096774193549,0.7111111111111111,0.7428571428571429,0.5405988214891639,0.1644656887318272,26,32,13,5,ECFP,2,2
76,31,45,0.8623655913978494,0.8149094459201573,0.7799283154121863,0.7631578947368421,0.6585365853658537,0.8709677419354839,0.6888888888888889,0.75,0.5519986041704787,0.1645797866882384,27,31,14,4,ECFP_StateCore,2,2
